,output_welfare
0,1.000008638587478
1,1.0000086617112007
2,1.0000088607955218
3,1.0000090682856848
4,1.0000090484541933
5,1.0000094970801792
6,1.0000094367910715
7,1.0000096484469283
8,1.0000022974277591
9,1.0000022764639434
10,1.0000023023207385
11,1.000001845900189
12,1.0000018536431108
13,1.0000018132103339
14,1.0000018579714582
15,1.0000018704163511
16,1.0000018155175243
17,1.0000018672772746
18,1.0000016003922811
19,1.000001640775312
20,1.0000016613403535
21,1.0000014994928241
22,1.0000014613678305
23,1.0000014923784366
24,1.000001501135849
25,1.0000014694706962
26,1.0000014822611543
27,1.0000014976212634
28,1.000001480114974
29,1.0000014444015772
30,1.0000014128104453
31,1.0000011017434827
32,1.0000010698269068
33,1.0000010439413405
34,1.0000010454367778
35,1.0000010359224485
36,1.0000010421429095
37,1.0000010280989304
38,1.000001049479487
39,1.0000010491144549
40,1.0000010059747286
41,1.0000010303981282
42,1.0000010396119345
43,1.0000010430241328
44,1.000001032758035
45,1.0000010408670248
46,1.0000010554624446
47,1.0000010617765955
48,1.0000010348554857
49,1.0000010635476988
50,1.0000010523151965
