,output_welfare
0,1.0000075597545521
1,1.0000044085382709
2,1.000004253695496
3,1.0000026337091212
4,1.000001981576591
5,1.000001726799651
6,1.0000017002078334
7,1.0000012653649561
8,1.0000010816629359
9,1.000000813131164
10,1.0000007446013934
11,1.0000006931314436
12,1.0000006745747523
13,1.000000592354831
14,1.0000005657034878
15,1.000000535127441
16,1.0000004632193382
17,1.0000004605599837
18,1.0000004617032419
19,1.0000004622308465
20,1.0000004677388405
21,1.000000462338539
22,1.0000004640904026
23,1.0000004678154228
24,1.0000004663148114
25,1.0000004785436134
26,1.00000046740579
27,1.0000004678267218
28,1.0000004729628942
29,1.0000004645070601
30,1.0000004617318814
31,1.0000004600937398
32,1.0000004652368863
33,1.000000468707439
34,1.0000004756494063
35,1.0000004724784088
36,1.0000004760721581
37,1.0000004731772025
38,1.0000004727311993
39,1.0000004661259345
40,1.000000458175733
41,1.0000004582271553
42,1.0000004599937873
43,1.0000004536605285
44,1.0000004657992279
45,1.000000457994771
46,1.0000004244844913
47,1.0000004256191015
48,1.0000004377775522
49,1.0000004327279928
50,1.0000004295011062
