,output_price
0,995427.0132660578
1,1.000004412527716
2,1.0000042537795077
3,1.0000026357039205
4,1.0000019826814894
5,1.0000017273112063
6,1.0000017002046298
7,1.000001266079061
8,1.0000010819396794
9,1.0000008135310539
10,1.0000007447072454
11,1.0000006932267507
12,1.0000006745946626
13,1.0000005924728537
14,1.0000005657699165
15,1.0000005351883066
16,1.0000004633280255
17,1.0000004605596524
18,1.0000004617029103
19,1.000000462230563
20,1.0000004677385084
21,1.0000004623382068
22,1.0000004640900704
23,1.000000467815084
24,1.0000004663144775
25,1.000000478543268
26,1.0000004674055316
27,1.000000467826387
28,1.0000004729625533
29,1.000000464506726
30,1.000000461731547
31,1.0000004600934072
32,1.00000046523655
33,1.0000004687070976
34,1.0000004756490606
35,1.000000472478067
36,1.0000004760718122
37,1.0000004731769685
38,1.000000472730935
39,1.0000004661432778
40,1.0000004581755402
41,1.000000458226921
42,1.0000004599935732
43,1.0000004536602676
44,1.0000004657990254
45,1.0000004579945247
46,1.0000004245431715
47,1.0000004256188215
48,1.0000004377772636
49,1.0000004327277976
50,1.000000429500822
