"Country,Oil_Reserves,Coal_Reserves,Gas Reserves,GDP per capita,Solar_power,Wind power,energy_demand,Government expenditure (% of GDP),Overall_dirty,Overall_green"
"Belgium,0.0,0.0,0.0,43.325,0.025367520582852437,0.0004117649038281918,231645.62203619565,0.0002272711286639781,0.0,0.022020495996124052"
"Bulgaria,2.1587563836225225,375.3451973786941,0.028783418448300305,8.197,0.05569591469746109,0.00039876547918275243,111453.44620271154,4.5743597596296726e-05,0.49972333430768284,0.04852267329690446"
"Denmark,95.12789781848078,0.0,0.20890155419303402,57.545,0.04782291777807473,0.0011245809452087479,127296.04457855578,0.0005471750501795346,0.1261930915461879,0.04227449899421206"
"Germany,1.5812099172894014,475.05773218452765,0.024443824808338573,44.68,0.0035567674769945773,5.537337930459275e-05,167842.89750892838,2.7247225011207995e-05,0.6309381759484121,0.0026416423392751328"
"Estonia,0.0,0.0,0.0,20.17,0.20504547561881142,0.0031477495882129007,66176.5916466584,0.0006801208411387563,0.0,0.18148952557808018"
"Ireland,0.0,3.125356181900147,0.0708819701785375,69.727,0.05123753844334282,0.0018088471229818386,129331.32744108392,0.00040541695610137827,0.00423071863522506,0.045857807968450105"
"Greece,0.9594117040936371,304.15687762914786,0.00335794096432773,19.214,0.04269382083216685,0.00042836773176076795,111456.30503305461,0.00010726270995046172,0.4038733399314298,0.03718192460241635"
"Spain,3.20822825851082,27.98520335183711,0.001924936955106492,28.175,0.009795790282653037,8.985819588321006e-05,122477.49750838299,3.1491911372138266e-05,0.041291909425251114,0.008126037743085266"
"France,1.201574709226228,0.0,0.004810527198391396,39.827,0.005331412309045242,7.371290323267582e-05,156903.81248221808,3.8075541562334525e-05,0.0015968386140697004,0.004209096426073039"
"Croatia,17.294855608660775,0.0,0.21435877374114765,13.2,0.09110247883998775,0.0013159679991581546,85423.09111685063,0.00017671737307220213,0.023176170251144303,0.08027746039985854"
"Italy,9.580127467536293,0.3099355616550516,0.032830632670604425,32.038,0.006731520149589925,6.500465268779676e-05,111998.0780600308,3.0338211287234358e-05,0.01313449409371874,0.005425479026647147"
"Cyprus,0.0,0.0,0.0,18.695,0.4315203680098463,0.001560099357357671,97068.09490797683,0.0007333786264068931,0.0,0.37808935960187573"
"Latvia,0.0,0.0,0.0,15.613,0.14685626853596495,0.0020039253567228892,99414.80480840293,0.00035185988109413753,0.0,0.1296196907378329"
"Lithuania,4.4080551330149005,0.0,0.0,16.709,0.10358929562585016,0.0014713720696075986,55409.07118972306,0.000257936984647846,0.005834747008515939,0.09132948139566394"
"Luxembourg,0.0,0.0,0.0,105.28,0.4824450699545351,0.0059206553584950266,293054.3325803782,0.007995001996875289,0.0,0.426420569641663"
"Hungary,2.9605549529204476,331.9361573922107,0.03146883586321035,14.364,0.03643759942055936,0.00030741119033873615,107889.19108632802,7.564319060456499e-05,0.4433295737562377,0.03160689902487467"
"Malta,0.0,0.0,0.0,28.585,1.1346573266929834,0.0098162579861984,291098.4683258482,0.002973133137655902,0.0,1.0"
"Netherlands,8.222530054499385,31.9726969655799,1.850145130935323,48.796,0.016691108051463704,0.0003375922504702691,229831.46217841603,0.00013355708779149328,0.055653593700013874,0.014370601860702537"
"Austria,5.040860952402947,0.0,0.0334206860500724,47.261,0.03564132964143934,0.0006444862863044694,166729.62642779056,0.0003038035399945683,0.0067166014754632235,0.031205464076295236"
"Poland,3.6397446524340054,751.7640987722784,0.07966367186747579,13.871,0.00787388862902414,0.00010718264840146454,114527.41398694852,1.7938623223093873e-05,1.0,0.0064610275004982"
"Portugal,0.0,3.891761547769972,0.0,21.316,0.04481838208778931,0.0003253598783685991,105634.0861546603,0.0001006000924415907,0.0051513520959928175,0.03894919721215218"
"Romania,31.188774162138273,16.67415335863332,0.19363030625660846,10.781,0.018557320626472272,0.00015034548584858754,73366.40182026003,2.1749523370554192e-05,0.06361033348261395,0.015838379207621045"
"Slovenia,0.0,196.71438494077265,0.0,23.488,0.1659501149144419,0.00189346676043249,136566.30404562328,0.0006014191938383924,0.26038210376924215,0.14621525592569246"
"Slovakia,1.6484597341730465,27.256704743644363,0.09158109634294703,17.551,0.05952771262291557,0.0005964859967008826,133054.31326815934,0.00015929702039071424,0.03838170562531347,0.05204533936490658"
"Finland,0.0,0.0,0.0,45.778,0.0,0.00059041063255317,221605.0285883423,0.0004686430131824023,0.0,0.0"
