,output_welfare
0,1.8200563025225792e-100
1,5.000975275798471e-100
2,4.1818395358448045e-100
3,1.4237240768016992e-100
4,5.800393385262364e-100
5,2.101180176658327e-102
6,2.9883805303309326e-101
7,3.9374396103186553e-100
8,2.7187992523614025e-100
9,5.850269395681777e-102
10,6.344671728430221e-100
11,9.487879457613705e-101
12,2.0055414368034924e-102
13,1.194031586294538e-100
14,1.7127869871565616e-100
15,9.297766434021507e-100
16,3.3002376184576763e-100
17,1.0000113896162814
18,1.0000116983721319
19,1.000012004003481
20,1.0000121368219637
21,1.0000122122681143
22,1.0000126845328308
23,1.0000132106175794
24,1.0000134968912135
25,1.000006195713617
26,1.0000061176596
27,1.0000062119483102
28,1.0000061358193402
29,1.0000064946150695
30,1.0000064623525506
31,1.0000064710259362
32,1.000006568918976
33,1.0000066704368944
34,1.0000068629226568
35,1.0000069161543264
36,1.000005616297284
37,1.0000055752040056
38,1.0000057476212207
39,1.0000045412096021
40,1.0000041896570435
41,1.0000029913444402
42,1.0000027687484834
43,1.0000023245384393
44,1.0000022674125846
45,1.000002320053704
46,1.000002348588388
47,1.000002358338448
48,1.000002327199631
49,1.0000023492771157
50,1.0000023953439123
51,1.000002358538499
52,1.000002425800078
53,1.000002416917837
54,1.0000023949751222
55,1.0000024038613777
56,1.0000024228628062
57,1.0000020127791578
58,1.000002027142289
59,1.0000020422285887
60,1.000002054992687
61,1.0000020502933304
62,1.0000020671643577
63,1.0000020576390947
64,1.0000021024913706
65,1.000001842976414
66,1.0000018517260114
67,1.000001842377082
68,1.0000018809707276
69,1.0000018888093456
70,1.0000018624691829
71,1.000001896946034
72,1.0000018871629337
73,1.0000018451947088
74,1.0000019142638705
75,1.0000018878727976
76,1.0000018629317342
77,1.0000019277915424
78,1.000001895010013
79,1.0000019263304856
80,1.0000019081671798
81,1.0000019097391493
82,1.0000019088228362
83,1.0000019585370836
84,1.0000019308228185
85,1.00000172520561
86,1.000001695392402
87,1.000001717199952
88,1.0000017323399077
89,1.0000017447644123
90,1.000001739027783
91,1.0000017384188058
92,1.0000017356180024
93,1.0000017770459022
94,1.0000017587966106
95,1.000001767921149
96,1.000001792697793
97,1.0000017989204946
98,1.0000017687993479
99,1.0000018165042646
100,1.0000017803236285
101,1.0000018233718984
102,1.0000017996615567
103,1.0000018473510346
104,1.00000180247512
105,1.000001834323405
106,1.0000014701978535
107,1.0000014911094448
108,1.0000013741315248
109,1.0000011494031706
110,1.0000009634093618
111,1.0000008588490923
112,1.000000801179015
113,1.000000738002173
114,1.000000708432488
115,1.000000702481701
116,1.0000006652602698
117,1.0000006758975044
118,1.000000626799695
119,1.0000005804179561
120,1.0000005732794026
121,1.0000005521564783
122,1.0000005545227353
123,1.0000004923489063
124,1.0000004747933158
125,1.0000004783121195
126,1.000000470088077
127,1.0000004776079723
128,1.0000004591224916
129,1.0000004725712994
130,1.0000004782680827
131,1.0000004728961787
132,1.000000473806541
133,1.0000004782802177
