,output_welfare
0,1.0000047345557013
1,1.0000025449777346
2,1.0000017321379207
3,1.00000142939593
4,1.0000013088418183
5,1.000001144109034
6,1.0000010851149528
7,1.000000972629733
8,1.0000008966995955
9,1.0000007783994573
10,1.0000007708119911
11,1.000000772585876
12,1.0000007804330677
13,1.0000007704826945
14,1.000000781726091
15,1.0000007905448614
16,1.0000007947126734
17,1.000000786937935
18,1.0000007886313858
19,1.0000007782674727
20,1.0000007880764072
21,1.0000008004875747
22,1.0000008049390945
23,1.0000007857375817
24,1.0000007958852875
25,1.000000797450647
26,1.0000007946796894
27,1.0000007922797742
28,1.0000007982167598
29,1.0000007823149286
30,1.000000783121099
31,1.0000008029064593
32,1.0000007881766109
33,1.0000007885594464
34,1.0000007990106572
35,1.0000007788588556
36,1.0000007827075508
37,1.000000785772215
38,1.0000007826942758
39,1.0000006395957959
40,1.0000006068073288
41,1.0000005998782053
42,1.000000604975413
43,1.0000006011298483
44,1.0000005804894825
45,1.0000005811271526
46,1.0000005594526575
47,1.0000005564676426
48,1.0000005320727319
49,1.0000005299466286
50,1.0000005215245755
