,output_price
0,466655.07517029444
1,1.0000025475178158
2,1.0000017334952458
3,1.0000014297858215
4,1.0000013089801407
5,1.0000011443608314
6,1.000001085241448
7,1.0000009728208925
8,1.0000008968384502
9,1.0000007786273075
10,1.0000007708112157
11,1.0000007725851008
12,1.0000007804324598
13,1.0000007704821299
14,1.0000007817253203
15,1.0000007905441484
16,1.0000007947119964
17,1.000000786937307
18,1.0000007886307367
19,1.0000007782666986
20,1.0000007880754223
21,1.0000008004865715
22,1.0000008049380849
23,1.0000007857366013
24,1.0000007958842871
25,1.00000079744965
26,1.0000007946786897
27,1.0000007922787848
28,1.0000007982157573
29,1.0000007823141415
30,1.0000007831204554
31,1.0000008029062086
32,1.0000007881858841
33,1.0000007885589166
34,1.0000007990101019
35,1.0000007788582592
36,1.0000007827068627
37,1.000000785771555
38,1.0000007826935091
39,1.0000006398091195
40,1.000000606867241
41,1.0000005998938801
42,1.0000006049750523
43,1.000000601140109
44,1.0000005805137782
45,1.0000005811266244
46,1.0000005595037778
47,1.000000556486026
48,1.0000005321097185
49,1.0000005299462984
50,1.0000005215241548
