,output_welfare
0,1.076911355931882e-99
1,6.958704674982229e-100
2,2.767489593993074e-100
3,3.6222638628179985e-100
4,3.223642597434575e-100
5,4.651080190102437e-100
6,3.0104897854714904e-101
7,0.38557259576566605
8,0.03098352664581035
9,4.217515007166503e-100
10,1.000004773512612
11,1.0000048960460544
12,1.000004910438115
13,1.0000049070000356
14,1.0000049012817054
15,1.0000049341759263
16,1.0000050138430023
17,1.0000050176860427
18,1.0000050799291829
19,1.0000051422088134
20,1.0000031959672162
21,1.0000031956411466
22,1.0000032324492742
23,1.0000031257581496
24,1.0000032468480915
25,1.000003274903211
26,1.000003268210405
27,1.0000026296448508
28,1.0000026306543959
29,1.000002653366062
30,1.0000024792232352
31,1.000002411853563
32,1.000002438504344
33,1.0000024705782062
34,1.0000025401120765
35,1.0000024686518831
36,1.000002473021284
37,1.0000022351109774
38,1.0000019519016088
39,1.000001784699133
40,1.000001745040513
41,1.000001672847517
42,1.000001479229218
43,1.0000013121623825
44,1.00000126406409
45,1.000001097918605
46,1.0000010171808311
47,1.000001013695241
48,1.0000009242778425
49,1.0000008660973951
50,1.0000008809711916
