,output_price
0,0.007997368488844192
1,0.00280151432594903
2,0.007711704539308266
3,0.02270296311606575
4,0.020819475559301085
5,0.010086994468200945
6,0.025756980829318016
7,0.8905851492700043
8,0.03373873818141239
9,0.018392768294970236
10,1653346.4232842748
11,1.0000048960163408
12,1.0000049104052524
13,1.0000049069708365
14,1.000004901247593
15,1.000004934143037
16,1.0000050138096468
17,1.00000501764056
18,1.0000050798830824
19,1.0000051421614855
20,1.000003198523117
21,1.0000031956235165
22,1.0000032324312804
23,1.0000031257407482
24,1.0000032468298976
25,1.0000032748847185
26,1.0000032681918516
27,1.000002630509972
28,1.000002630642411
29,1.0000026533539865
30,1.0000024795012645
31,1.0000024118435842
32,1.0000024384941102
33,1.0000024705678665
34,1.0000025401012527
35,1.000002468641351
36,1.0000024730106658
37,1.0000022355595726
38,1.0000019523460852
39,1.0000017851544292
40,1.0000017450353473
41,1.0000016731353794
42,1.0000014795786312
43,1.000001312409752
44,1.0000012641446974
45,1.000001098231993
46,1.0000010173005696
47,1.0000010136935544
48,1.0000009244909687
49,1.0000008662339153
50,1.0000008809706817
