,output_welfare
0,1.0000173418453036
1,1.0000048160059012
2,1.0000027518027248
3,1.0000020242343934
4,1.0000015383175433
5,1.0000012120878148
6,1.0000009928023301
7,1.0000009475143021
8,1.0000008472398518
9,1.0000007007553986
10,1.000000687643801
11,1.0000006743121717
12,1.000000688462548
13,1.0000006982184493
14,1.000000695447729
15,1.0000006990945776
16,1.0000006876321237
17,1.0000006941199038
18,1.0000006780390966
19,1.0000006813139954
20,1.000000705464512
21,1.0000006955147869
22,1.0000007036602736
23,1.0000006995661574
24,1.0000006982512264
25,1.0000007140189806
26,1.0000006934600516
27,1.0000007020116704
28,1.0000007064625975
29,1.000000668637315
30,1.000000680522613
31,1.0000006719440242
32,1.00000067029905
33,1.0000006666386296
34,1.0000006666243726
35,1.000000652953634
36,1.0000006699004027
37,1.0000006629941136
38,1.000000667754129
39,1.0000005437469082
40,1.0000005187557666
41,1.0000004940107543
42,1.0000004988105102
43,1.000000486949082
44,1.0000004810031073
45,1.0000004741722364
46,1.0000004565222917
47,1.0000004500404789
48,1.0000004365380517
49,1.0000004352781646
50,1.0000004478915723
51,1.0000004333454924
52,1.0000004251826762
53,1.0000004302336631
54,1.0000004335338988
55,1.0000004370918465
56,1.0000004376402538
57,1.0000004258064612
58,1.0000004302734806
59,1.000000403532123
60,1.0000004037740993
61,1.0000004022268014
62,1.0000003853584025
63,1.0000003822928496
64,1.0000003835327536
65,1.0000003818970837
66,1.0000003807098008
67,1.0000003855884483
68,1.0000003908918056
69,1.0000003505673882
70,1.0000003639129749
71,1.0000003669955864
72,1.0000003497833867
73,1.0000003514510591
74,1.0000003490595955
75,1.0000003525641379
76,1.000000359008846
77,1.0000003600213705
78,1.0000003568431735
79,1.0000003556634898
80,1.0000003552951229
81,1.0000003524351642
82,1.0000003300172338
83,1.0000003332332799
84,1.0000003266157156
85,1.00000033004652
86,1.0000003337647574
87,1.000000330605987
88,1.0000003194100695
89,1.0000003196764227
90,1.0000003255555332
91,1.0000003135977233
92,1.0000003246784914
93,1.0000003191058893
94,1.0000003260471244
95,1.0000003194769047
96,1.0000003176602534
97,1.0000003208589343
98,1.000000319671542
99,1.0000003250606522
100,1.0000003249643497
101,1.0000003218729068
102,1.0000003234071588
103,1.0000003233539585
104,1.0000003193553866
105,1.0000003233144759
106,1.0000003220254867
107,1.0000003260708108
108,1.00000032470832
109,1.000000320510109
110,1.0000003224250973
111,1.000000323549285
112,1.0000003174551735
113,1.0000003210916948
114,1.0000003108670372
115,1.0000003169765415
116,1.000000322132732
117,1.0000003114129976
118,1.0000003152603543
119,1.000000317091979
120,1.0000003221990328
121,1.0000003184491297
122,1.0000003107505813
123,1.0000003141907157
124,1.000000316319172
125,1.000000307711047
126,1.0000003160691693
127,1.000000314308403
128,1.0000003067384529
129,1.0000003057659028
130,1.000000302144262
131,1.0000003045499293
132,1.0000002937144163
133,1.0000002944477144
134,1.0000002968736843
135,1.0000002976512707
136,1.000000293984562
137,1.00000030104945
138,1.0000003023804327
139,1.0000002989824714
140,1.0000002888411674
141,1.0000002832289954
142,1.0000002837998774
143,1.0000002690563956
144,1.0000002672369144
145,1.0000002626545041
146,1.0000002516182078
147,1.0000002520018176
148,1.0000002427147392
149,1.0000002425208738
150,1.000000243214849
151,1.0000002372754164
152,1.0000002407988915
153,1.00000023402608
154,1.0000002293836934
155,1.0000002318791799
156,1.0000002270194903
157,1.0000002206814558
158,1.0000002174127902
159,1.0000002199720621
160,1.0000002152962526
161,1.0000002079869947
162,1.0000001989795624
163,1.000000194389836
164,1.0000001927706117
165,1.0000001899222368
166,1.0000001830560004
167,1.0000001824815004
168,1.0000001784096257
169,1.000000172121494
170,1.0000001735773527
171,1.0000001726709102
172,1.0000001734168846
173,1.0000001732751578
174,1.000000176083989
175,1.000000172962765
176,1.0000001754896033
177,1.0000001725887873
178,1.0000001705926886
179,1.00000017052208
180,1.0000001733774946
181,1.000000176307487
182,1.0000001717575293
183,1.0000001752898935
184,1.0000001720974305
185,1.0000001759388442
186,1.0000001744361486
187,1.0000001738417983
188,1.0000001743046953
189,1.0000001734618262
190,1.0000001742673552
191,1.0000001735975417
192,1.0000001701627024
193,1.0000001718590565
194,1.000000170510444
195,1.000000168328634
196,1.0000001701340875
197,1.0000001711892474
198,1.0000001699024381
199,1.0000001681435213
200,1.0000001692614384
201,1.0000001684878734
202,1.000000167422199
203,1.000000165727628
204,1.0000001650341115
205,1.000000169626388
206,1.0000001682991217
207,1.0000001695286085
208,1.0000001659603905
209,1.000000167784444
210,1.0000001695319736
211,1.000000170385596
212,1.0000001688163822
213,1.0000001684589745
214,1.0000001694483303
215,1.0000001674983785
216,1.0000001689755482
217,1.000000167768449
218,1.0000001694958065
219,1.000000165115252
220,1.0000001622247636
221,1.0000001547820223
222,1.0000001547119937
223,1.0000001539099688
224,1.0000001534328535
225,1.000000155623284
226,1.0000001546395414
227,1.0000001530412623
228,1.000000154554455
229,1.0000001462242867
230,1.0000001434004637
231,1.0000001444614275
232,1.000000144373279
233,1.0000001424260727
234,1.000000138750452
235,1.0000001436982235
236,1.0000001395302065
237,1.000000139981731
238,1.000000140207183
239,1.0000001389049122
240,1.0000001365087765
241,1.0000001352601633
242,1.0000001349570198
243,1.0000001318738396
244,1.0000001286724978
245,1.0000001251111197
246,1.0000001195888528
247,1.000000116812581
248,1.0000001121219608
249,1.0000001147301492
250,1.0000001143186803
251,1.00000011364004
252,1.0000001137039418
253,1.0000001152135714
254,1.0000001145307058
255,1.000000111940297
256,1.0000001126136766
257,1.0000001145009065
258,1.0000001158772294
259,1.0000001134907928
260,1.0000001110008772
261,1.000000107743344
262,1.0000001066354147
263,1.0000001069497788
264,1.0000001046508638
265,1.0000001059533483
266,1.0000001048661171
267,1.0000001045131974
268,1.0000001036944364
269,1.0000001055352297
270,1.0000001024022975
271,1.0000001041464879
272,1.0000001022790685
273,1.0000001014098556
274,1.000000103799541
275,1.0000001025133414
276,1.0000001006069086
277,1.0000000999732714
278,1.0000000980122588
279,1.000000099625305
280,1.0000000987765976
281,1.0000000970279923
282,1.0000000980234525
283,1.0000000975550631
284,1.0000000970328449
285,1.0000000977239785
286,1.0000000982091333
287,1.0000000986177575
288,1.0000000985572834
289,1.000000098109858
290,1.0000000972500562
291,1.0000000978883368
292,1.0000000974009626
293,1.000000096919735
294,1.0000000972418055
295,1.0000000974613317
296,1.000000098319045
297,1.0000000967906826
298,1.000000097792707
299,1.000000098222406
300,1.0000000974594843
301,1.0000000969422638
302,1.0000000960522568
303,1.0000000973097247
304,1.0000000973635665
305,1.0000000970801564
306,1.0000000972650407
307,1.0000000967721003
308,1.0000000973632188
309,1.000000096755266
310,1.0000000957770903
311,1.000000097263249
312,1.0000000978031556
313,1.0000000963591036
314,1.000000097800368
315,1.0000000988381539
316,1.0000000969091702
317,1.0000000978741355
318,1.0000000976592391
319,1.000000096311233
320,1.0000000947583136
321,1.000000096848866
322,1.0000000945710228
323,1.000000091901774
324,1.0000000916602256
325,1.0000000890213097
326,1.0000000872303278
327,1.0000000860143015
328,1.0000000846359767
329,1.0000000850751896
330,1.0000000842643548
331,1.0000000858804474
332,1.000000084389554
333,1.0000000861460843
334,1.000000085526104
335,1.0000000845973072
336,1.0000000841856906
337,1.0000000846292085
338,1.0000000853307016
339,1.0000000873096178
340,1.0000000846517456
341,1.0000000846572725
342,1.0000000855628624
343,1.0000000852733004
344,1.000000085266838
345,1.0000000860486553
346,1.0000000852659736
347,1.000000085010094
348,1.0000000835617076
349,1.0000000850421824
350,1.000000083721231
351,1.0000000847401114
352,1.0000000821635189
353,1.0000000836136036
354,1.0000000841237713
355,1.0000000833921765
356,1.000000083529793
357,1.0000000827518938
358,1.0000000846907444
359,1.0000000818317814
360,1.0000000838380512
361,1.0000000830039089
362,1.0000000829204525
363,1.000000081637008
364,1.000000082940056
365,1.0000000815307342
366,1.0000000821679695
367,1.0000000828316444
368,1.0000000830892568
369,1.0000000821189163
370,1.000000081587013
371,1.0000000819445227
372,1.0000000821676027
373,1.0000000830881535
374,1.0000000831410714
375,1.0000000826894568
376,1.000000081334885
377,1.0000000818018984
378,1.0000000825894078
379,1.00000008145182
380,1.0000000822393558
381,1.0000000830393636
382,1.000000081431681
383,1.0000000817748318
384,1.0000000809001832
385,1.00000008012825
386,1.0000000805965432
387,1.0000000793883965
388,1.000000079778304
389,1.0000000783673126
390,1.000000078211922
391,1.0000000778858154
392,1.0000000775554436
393,1.0000000763940984
394,1.0000000774323896
395,1.000000076486374
396,1.0000000756040182
397,1.000000075244197
398,1.0000000755080487
399,1.0000000744262318
400,1.0000000746323825
401,1.0000000730764114
402,1.000000073104634
403,1.0000000726867049
404,1.000000071001526
405,1.0000000713752255
406,1.000000070844165
407,1.0000000698259168
408,1.0000000694401958
409,1.0000000695295403
410,1.0000000678194443
411,1.0000000703305243
412,1.0000000698167433
413,1.0000000694420417
414,1.0000000699552802
415,1.0000000688492656
416,1.0000000699815954
417,1.0000000692024937
418,1.0000000690314674
419,1.0000000701968415
420,1.0000000681236305
421,1.0000000693508535
422,1.0000000689483493
423,1.0000000682503223
424,1.0000000686848778
425,1.0000000694576618
426,1.0000000685698782
427,1.0000000697135496
428,1.0000000688539041
429,1.0000000692328226
430,1.0000000677874523
431,1.0000000677266034
432,1.0000000691163053
433,1.0000000683629549
434,1.0000000680087862
435,1.0000000689282205
436,1.0000000680527068
437,1.0000000687876562
438,1.0000000680890386
439,1.0000000671986804
440,1.0000000670755715
441,1.0000000667697508
442,1.0000000664841877
443,1.000000064721612
444,1.000000064950076
445,1.000000064374669
446,1.0000000651339664
447,1.0000000639842341
448,1.0000000637550306
449,1.0000000628775654
450,1.000000063928841
451,1.000000063455783
452,1.0000000624457253
453,1.0000000633641675
454,1.0000000639711013
455,1.000000063732443
456,1.000000062971
457,1.000000063483669
458,1.0000000634515356
459,1.0000000642317775
460,1.000000062866909
461,1.000000062686688
462,1.0000000620968232
463,1.0000000627409174
464,1.0000000634181612
465,1.0000000624108074
466,1.0000000627832935
467,1.0000000637279614
468,1.0000000639412976
469,1.0000000625009455
470,1.0000000632089106
471,1.0000000634463109
472,1.0000000622561207
473,1.0000000623678948
474,1.0000000629281192
475,1.000000062553578
476,1.0000000632599375
477,1.0000000627701364
478,1.000000062931943
479,1.0000000627657628
480,1.0000000618917602
481,1.0000000618553215
482,1.0000000623512082
483,1.0000000603058745
484,1.000000059714768
485,1.0000000589405535
486,1.0000000582293158
487,1.0000000580250725
488,1.0000000565172178
489,1.0000000571745309
490,1.0000000560260454
491,1.0000000572008372
492,1.0000000565208143
493,1.0000000562139204
494,1.0000000570713081
495,1.0000000570664715
496,1.0000000567902114
497,1.0000000566250293
498,1.0000000561327513
499,1.0000000567125582
500,1.0000000557889268
501,1.0000000560369797
502,1.0000000557391222
503,1.0000000563364007
504,1.0000000555477806
505,1.000000054984329
506,1.0000000544560959
507,1.0000000546122876
508,1.0000000534181295
509,1.000000053706616
510,1.000000054103477
511,1.0000000527933377
512,1.0000000534385771
513,1.0000000533107791
514,1.0000000526531352
515,1.000000052135897
516,1.0000000522333872
517,1.0000000526246036
518,1.0000000508694553
519,1.0000000507847024
520,1.000000050980622
521,1.000000051362752
522,1.0000000510174907
523,1.000000050287758
524,1.0000000512274045
525,1.0000000504208695
526,1.0000000503146906
527,1.000000051135948
528,1.0000000505336688
529,1.0000000505828848
530,1.0000000500057669
531,1.000000050394285
532,1.000000050970495
533,1.0000000506937627
534,1.0000000503335584
535,1.0000000502200839
536,1.0000000504373792
537,1.0000000503767674
538,1.0000000506983053
539,1.0000000503686093
540,1.0000000502364064
541,1.0000000508090974
542,1.0000000503604578
543,1.0000000503055309
544,1.0000000510544491
545,1.0000000503425421
546,1.0000000505101712
547,1.0000000507015505
548,1.0000000493286434
549,1.0000000489089897
550,1.0000000506606268
551,1.000000050928044
552,1.0000000502296449
553,1.0000000502391555
554,1.0000000499236081
555,1.000000050754646
556,1.000000050333765
557,1.0000000500029704
558,1.0000000504706519
559,1.000000050455445
560,1.0000000498671426
561,1.0000000503497783
562,1.0000000503048687
563,1.0000000495598604
564,1.0000000496710397
565,1.000000049776505
566,1.0000000490357979
567,1.0000000488397391
568,1.0000000475361768
569,1.0000000480058502
570,1.0000000478070414
571,1.000000048143581
572,1.000000048550058
573,1.0000000487335359
574,1.0000000471347996
575,1.000000048379431
576,1.000000048609083
577,1.000000048823118
578,1.0000000487134397
579,1.0000000479742928
580,1.0000000487635088
581,1.0000000491800904
582,1.000000048525992
583,1.0000000493999828
584,1.0000000480347508
585,1.000000048531714
586,1.0000000484422764
587,1.0000000490157097
588,1.0000000486278344
589,1.0000000484493952
590,1.0000000482347529
591,1.0000000484453595
592,1.0000000489500842
593,1.0000000483130127
594,1.00000004794294
595,1.0000000481955882
596,1.0000000486847536
597,1.0000000489067629
598,1.0000000486376386
599,1.0000000478278697
600,1.0000000482863132
601,1.0000000480241311
602,1.0000000475501205
603,1.000000047924365
604,1.0000000475353497
605,1.000000047913535
606,1.0000000469984796
607,1.000000046990233
608,1.0000000464990446
609,1.0000000459977236
610,1.0000000469686616
611,1.0000000464818908
612,1.0000000464263845
613,1.0000000473129105
614,1.000000047078978
615,1.0000000464900192
616,1.000000046709583
617,1.0000000471856483
618,1.0000000469736632
619,1.0000000468341919
620,1.0000000465980186
621,1.0000000456047504
622,1.0000000458847917
623,1.0000000457507934
624,1.000000046126297
625,1.000000046106068
626,1.0000000468518218
627,1.0000000459425817
628,1.0000000456865972
629,1.000000046237793
630,1.000000046239703
631,1.00000004640559
632,1.0000000464534988
633,1.0000000455374027
634,1.0000000461933727
635,1.000000046044229
636,1.0000000462930374
637,1.000000045790756
638,1.0000000455717908
639,1.000000046365161
640,1.0000000448963304
641,1.0000000453822466
642,1.0000000443895196
643,1.0000000444303334
644,1.0000000440436079
645,1.0000000430811136
646,1.0000000436618872
647,1.0000000428262694
648,1.000000041785896
649,1.0000000419718091
650,1.0000000418750579
651,1.0000000418626303
652,1.000000041266401
653,1.000000041216678
654,1.000000041704894
655,1.0000000416398431
656,1.0000000415406691
657,1.0000000414245689
658,1.00000004129529
659,1.0000000410539973
660,1.0000000410252101
661,1.000000041195929
662,1.000000040433304
663,1.0000000410399157
664,1.0000000413956172
665,1.0000000403752798
666,1.000000040965106
667,1.0000000412898773
668,1.0000000402583327
669,1.0000000409191538
670,1.0000000411073084
671,1.000000041035239
672,1.0000000413264678
673,1.000000040926079
674,1.0000000413793708
675,1.0000000398313316
676,1.000000041300445
677,1.0000000414835495
678,1.0000000406975336
679,1.0000000410476648
680,1.0000000407045462
681,1.0000000406883134
682,1.0000000404044522
683,1.0000000399365598
684,1.0000000400807827
685,1.0000000403586133
686,1.0000000399023155
687,1.0000000398224043
688,1.0000000394664188
689,1.000000040047181
690,1.0000000396595727
691,1.0000000397774274
692,1.0000000393761246
693,1.0000000397476771
694,1.0000000400566647
695,1.0000000397656836
696,1.0000000403931395
697,1.0000000396812516
698,1.0000000402916744
699,1.0000000399838163
700,1.000000040092366
701,1.000000039397126
702,1.0000000394800181
703,1.0000000390452048
704,1.0000000395884299
705,1.0000000393547208
706,1.0000000397253581
707,1.0000000393863118
708,1.0000000400683589
709,1.0000000394243223
710,1.0000000396681037
711,1.000000039443538
712,1.000000039264233
713,1.0000000393380806
714,1.0000000396018405
715,1.0000000396541278
716,1.000000039285195
717,1.000000039239443
718,1.0000000394932111
719,1.0000000392188002
720,1.0000000392721622
721,1.0000000387628551
722,1.0000000381625787
723,1.0000000387076386
724,1.0000000379428196
725,1.0000000379906007
726,1.0000000372273166
727,1.0000000374599034
728,1.000000037252793
729,1.0000000369953372
730,1.0000000373767914
731,1.000000037309345
732,1.000000036836815
733,1.0000000371779767
734,1.0000000372414657
735,1.000000037251491
736,1.0000000369196884
737,1.000000037208397
738,1.0000000369236737
739,1.0000000370603024
740,1.0000000367931856
741,1.0000000361503099
742,1.0000000363664385
743,1.0000000372218327
744,1.0000000369545106
745,1.0000000364600303
746,1.0000000362649535
747,1.0000000365150925
748,1.0000000364905337
749,1.000000036132442
750,1.0000000359755843
751,1.0000000359831875
752,1.0000000359860173
753,1.0000000363852322
754,1.0000000360051045
755,1.0000000358696692
756,1.0000000357039684
757,1.0000000355438499
758,1.0000000354372807
759,1.0000000352398632
760,1.000000035538868
761,1.000000035179025
762,1.000000034639507
763,1.0000000347619975
764,1.0000000347969147
765,1.0000000352566818
766,1.0000000352670366
767,1.0000000352454512
768,1.0000000351446428
769,1.0000000349389404
770,1.0000000347984712
771,1.0000000351935219
772,1.000000035484996
773,1.0000000349429163
774,1.0000000346330238
775,1.0000000348977098
776,1.000000035384425
777,1.0000000348774747
778,1.0000000349321805
779,1.000000035420729
780,1.000000034967963
781,1.0000000345240267
782,1.000000034965158
783,1.0000000344973918
784,1.0000000349187697
785,1.000000034835938
786,1.000000034699407
787,1.0000000345585105
788,1.000000035106755
789,1.0000000343734086
790,1.0000000350185565
791,1.0000000341025563
792,1.0000000345624125
793,1.0000000344838422
794,1.0000000338046655
795,1.000000034233641
796,1.0000000340999957
797,1.00000003445054
798,1.0000000339264101
799,1.0000000342214697
800,1.000000034255227
801,1.000000035003777
802,1.000000034047349
803,1.0000000339649304
804,1.0000000335299946
805,1.0000000335543888
806,1.0000000333070724
807,1.0000000333614467
808,1.0000000326477871
809,1.0000000326858844
810,1.0000000327518939
811,1.0000000330824348
812,1.0000000330415195
813,1.0000000328751593
814,1.0000000329993814
815,1.0000000327843468
816,1.0000000329748202
817,1.0000000329952403
818,1.0000000331000667
819,1.0000000326056273
820,1.0000000330006684
821,1.0000000327252556
822,1.000000032987209
823,1.0000000329430938
824,1.0000000325968732
825,1.000000033259519
826,1.000000033146875
827,1.0000000326577332
828,1.0000000323435734
829,1.000000032745191
830,1.0000000324795077
831,1.0000000331546257
832,1.0000000324772524
833,1.0000000327321255
834,1.0000000325809018
835,1.0000000324556026
836,1.0000000322263682
837,1.0000000323822447
838,1.0000000320398172
839,1.0000000325837146
840,1.0000000329306618
841,1.000000031728917
842,1.000000032665815
843,1.0000000321156526
844,1.000000032016177
845,1.0000000319902103
846,1.0000000318689115
847,1.0000000320487945
848,1.000000031752614
849,1.000000031830427
850,1.000000031261343
851,1.0000000320189113
852,1.000000031602997
853,1.0000000317552566
854,1.000000031582298
855,1.0000000318309725
856,1.000000031498289
857,1.0000000316370772
858,1.0000000317208502
859,1.000000031969085
860,1.000000031585907
861,1.0000000320878448
862,1.0000000320333053
863,1.0000000310820316
864,1.0000000315735538
865,1.0000000316364481
866,1.0000000322011287
867,1.000000031647449
868,1.000000031574215
869,1.0000000316595221
870,1.0000000320937932
871,1.0000000314468218
872,1.000000031779065
873,1.0000000322574158
874,1.0000000318107565
875,1.000000031390156
876,1.0000000317369673
877,1.0000000318431197
878,1.0000000319727602
879,1.0000000315822293
880,1.0000000320960938
881,1.000000031623569
882,1.00000003154455
883,1.0000000312368753
884,1.0000000307225685
885,1.000000030530845
886,1.0000000309505752
887,1.0000000304653154
888,1.0000000301239778
889,1.000000030373258
890,1.00000003031689
891,1.0000000299924083
892,1.0000000300608642
893,1.0000000302363312
894,1.0000000305227152
895,1.0000000304179861
896,1.0000000303815386
897,1.0000000301643281
898,1.0000000302942187
899,1.0000000298100296
900,1.0000000302045133
901,1.0000000303564178
902,1.0000000305853762
903,1.0000000298217844
904,1.000000029845763
905,1.0000000300342557
906,1.000000030248635
907,1.0000000303612342
908,1.000000030145731
909,1.0000000303512941
910,1.0000000302117988
911,1.000000030262567
912,1.0000000301440182
913,1.0000000303451941
914,1.0000000292602818
915,1.0000000300744833
916,1.0000000303638783
917,1.0000000302708705
918,1.0000000296617861
919,1.000000030441419
920,1.0000000299752954
921,1.000000029769651
922,1.000000030043355
923,1.0000000295109188
924,1.0000000300128646
925,1.0000000294735378
926,1.0000000294288407
927,1.000000029253987
928,1.000000028883278
929,1.000000029836503
930,1.000000029024729
